Combination,Model,CV_Score,Test_Accuracy
mmse,RandomForest,0.6513367273984334,0.6621553884711779
mmse,GradientBoosting,0.6517126672480574,0.6541353383458647
mmse,AdaBoost,0.6494563210534173,0.66265664160401
mmse,ExtraTrees,0.6514621192479633,0.6656641604010025
mmse,SVM,0.6504583559211509,0.66265664160401
moca,RandomForest,0.7249239700330667,0.7251396648044692
moca,GradientBoosting,0.6716944044286722,0.6793296089385474
moca,AdaBoost,0.6468270420731683,0.6480446927374302
moca,ExtraTrees,0.7238037236139903,0.7189944134078212
moca,SVM,0.6804964102924471,0.6715083798882682
npiq,RandomForest,0.5747722494744218,0.5857623318385651
npiq,GradientBoosting,0.5608969866853538,0.5812780269058296
npiq,AdaBoost,0.5488437281009111,0.5610986547085202
npiq,ExtraTrees,0.5754730203223546,0.57847533632287
npiq,SVM,0.5663629992992292,0.5739910313901345
mmse_moca,RandomForest,0.7112662441313506,0.7666948436179205
mmse_moca,GradientBoosting,0.6772371191098628,0.6897717666948436
mmse_moca,AdaBoost,0.6406640754937702,0.6517328825021133
mmse_moca,ExtraTrees,0.714861887210307,0.7540152155536771
mmse_moca,SVM,0.6793512840147254,0.7007607776838546
moca_npiq,RandomForest,0.7471878224974201,0.7629774730656219
moca_npiq,GradientBoosting,0.7062717498260014,0.7071498530852106
moca_npiq,AdaBoost,0.6712410300717594,0.6562193927522038
moca_npiq,ExtraTrees,0.7496382028943768,0.752203721841332
moca_npiq,SVM,0.7199942400460796,0.7091087169441724
mmse_npiq,RandomForest,0.7013787318036023,0.7186018957345972
mmse_npiq,GradientBoosting,0.6984145626010911,0.7138625592417062
mmse_npiq,AdaBoost,0.6800470433423802,0.6895734597156398
mmse_npiq,ExtraTrees,0.6985630397236615,0.7049763033175356
mmse_npiq,SVM,0.6942671820599282,0.7132701421800948
all,RandomForest,0.7616653351087439,0.7739872068230277
all,GradientBoosting,0.726473146915224,0.7281449893390192
all,AdaBoost,0.675286995117621,0.652452025586354
all,ExtraTrees,0.760597603195739,0.7707889125799574
all,SVM,0.7384713715046605,0.7366737739872068
